episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
107, -1964.8439415187167, 4, 16.753216540999347, 868, 138156,                                             138156, 0.0, 22159.251953125
108, -4106.8045570049435, 2, 14.550957497000127, 766, 138922,                                             138922, 0.0, 16769.083984375
109, -3507.4797558184655, 3, 15.742598912000176, 816, 139738,                                             139738, 0.0, 15506.1064453125
110, -8005.768414268066, 2, 16.74514942099995, 877, 140615,                                             140615, 0.0, 21531.892578125
111, -764.1133264414966, 4, 16.757895118000306, 883, 141498,                                             141498, 0.0, 21310.736328125
112, -4773.924697027251, 2, 16.350003925999772, 847, 142345,                                             142345, 0.0, 25402.26171875
113, -3744.7088680319284, 3, 14.953451094999764, 792, 143137,                                             143137, 0.0, 19532.673828125
114, 1044.255801320076, 4, 16.738118365001355, 873, 144010,                                             144010, 0.0, 23921.103515625
115, -331.18029781768564, 4, 15.753357892001077, 824, 144834,                                             144834, 0.0, 19286.544921875
116, -521.2267194022425, 4, 16.7399745169987, 862, 145696,                                             145696, 0.0, 14969.57421875
117, -311.88435331132496, 4, 16.35559121299957, 867, 146563,                                             146563, 0.0, 18774.63671875
118, -176.0710838745581, 4, 15.739601025999946, 820, 147383,                                             147383, 0.0, 18415.107421875
119, 625.9018635852262, 4, 14.753149837999445, 773, 148156,                                             148156, 0.0, 20372.755859375
120, -2791.03624817729, 2, 14.35056188300041, 754, 148910,                                             148910, 0.0, 16856.505859375
121, 3763.8121547698975, 1, 2.919591551999474, 142, 149052,                                             149052, 0.0, 17741.0625
122, -397.276434003812, 4, 15.336692087999836, 802, 149854,                                             149854, 0.0, 20093.1796875
123, -150.94782927935012, 4, 15.349638681000215, 812, 150666,                                             150666, 0.0, 17081.232421875
124, -464.5544697896112, 4, 15.557121588999507, 820, 151486,                                             151486, 0.0, 16096.7744140625
125, 392.203434257186, 4, 15.5510982959986, 823, 152309,                                             152309, 0.0, 12386.7646484375
126, 866.2406365275383, 4, 15.748881657000311, 824, 153133,                                             153133, 0.0, 15874.7685546875
127, -3215.8713439553976, 2, 12.949139100999673, 684, 153817,                                             153817, 0.0, 12736.0908203125
128, 361.3872724219691, 4, 14.7356993279991, 758, 154575,                                             154575, 0.0, 14471.60546875
129, -252.82250488037243, 4, 14.34878764899986, 763, 155338,                                             155338, 0.0, 13270.1220703125
130, 543.2082516268711, 4, 14.552675295999506, 767, 156105,                                             156105, 0.0, 11994.7666015625
131, 3492.5882809925824, 1, 0.7177919240002666, 30, 156135,                                             156135, 0.0, 12894.84375
132, 3892.692794919014, 1, 4.713933015000293, 233, 156368,                                             156368, 0.0, 11701.873046875
133, -3938.965446921051, 2, 11.34641814799943, 594, 156962,                                             156962, 0.0, 12545.470703125
134, 4186.556863069534, 1, 7.733122157000253, 406, 157368,                                             157368, 0.0, 10266.900390625
135, 4022.0070363283157, 1, 6.1147815589993115, 299, 157667,                                             157667, 0.0, 11971.970703125
136, -5094.710762467235, 2, 10.54187231799915, 546, 158213,                                             158213, 0.0, 13693.0517578125
137, 892.121241748333, 4, 14.551565588000813, 744, 158957,                                             158957, 0.0, 11539.0703125
